u_p u_o u_r i_mA adc_uo adc_ur dac_val r
0.354839 1.903226 1.548387 12.903226 590 480 235 120
0.361290 1.909677 1.548387 12.903226 592 480 236 120
0.370968 1.919355 1.548387 12.903226 595 480 237 120
0.377419 1.925806 1.548387 12.903226 597 480 238 120
0.380645 1.932258 1.551613 12.930107 599 481 239 120
0.390323 1.941936 1.551613 12.930107 602 481 240 120
0.396774 1.948387 1.551613 12.930107 604 481 241 120
0.406452 1.958065 1.551613 12.930107 607 481 242 120
0.412903 1.967742 1.554839 12.956989 610 482 243 120
0.419355 1.974194 1.554839 12.956989 612 482 244 120
0.429032 1.983871 1.554839 12.956989 615 482 245 120
0.435484 1.990323 1.554839 12.956989 617 482 246 120
0.441936 2.000000 1.558064 12.983871 620 483 247 120
0.448387 2.006452 1.558064 12.983871 622 483 248 120
0.454839 2.012903 1.558064 12.983871 624 483 249 120
0.464516 2.022581 1.558064 12.983871 627 483 250 120
0.474194 2.032258 1.558064 12.983871 630 483 251 120
0.480645 2.038710 1.558064 12.983871 632 483 252 120
0.487097 2.048387 1.561290 13.010753 635 484 253 120
0.493548 2.054839 1.561290 13.010753 637 484 254 120
0.503226 2.064516 1.561290 13.010753 640 484 255 120
